,ID,Date,Latitude,Longitude,Year
98,ISCGEM858845,3/24/1965,8.418,126.553,1965
99,ISCGEM858938,3/28/1965,55.26,161.904,1965
100,ISCGEM858940,3/28/1965,-32.522,-71.233,1965
101,ISCGEM858966,3/29/1965,40.687,142.915,1965
102,ISCGEM858978,3/30/1965,-20.502,-173.701,1965
103,ISCGEM858982,3/30/1965,50.282,177.959,1965
104,ISCGEM859094,3/31/1965,38.365,22.405,1965
105,ISCGEMSUP857323,4/1/1965,9.986,125.896,1965
106,ISCGEM857413,4/3/1965,15.8,-98.06700000000001,1965
107,ISCGEM857447,4/4/1965,51.865,175.172,1965
108,ISCGEM857450,4/4/1965,-27.088,-176.046,1965
109,ISCGEM857472,4/5/1965,37.505,22.066999999999997,1965
110,ISCGEM857484,4/5/1965,44.812,150.871,1965
111,ISCGEM857506,4/6/1965,36.083,139.968,1965
112,ISCGEM857510,4/6/1965,-0.46299999999999997,120.039,1965
113,ISCGEM857580,4/8/1965,52.192,173.437,1965
114,ISCGEM857602,4/9/1965,-32.707,-178.207,1965
115,ISCGEM857618,4/9/1965,35.047,24.318,1965
116,ISCGEM857639,4/10/1965,-20.455,-173.62099999999998,1965
117,ISCGEM857647,4/10/1965,-17.857,-178.646,1965
118,ISCGEM857648,4/10/1965,-13.409,170.37599999999998,1965
119,ISCGEM857649,4/11/1965,-42.692,174.205,1965
120,ISCGEM857677,4/11/1965,-26.168000000000003,178.628,1965
121,ISCGEM857712,4/12/1965,30.316999999999997,138.702,1965
122,ISCGEM857769,4/15/1965,25.08,122.897,1965
123,ISCGEM857809,4/16/1965,64.572,-160.375,1965
124,ISCGEM857833,4/18/1965,41.46,-127.416,1965
125,ISCGEM857835,4/18/1965,-59.687,-26.454,1965
126,ISCGEM857837,4/18/1965,-59.586000000000006,-26.372,1965
127,ISCGEM857881,4/19/1965,34.848,138.332,1965
128,ISCGEM857999,4/24/1965,11.450999999999999,140.231,1965
129,ISCGEM858003,4/25/1965,24.409000000000002,142.776,1965
130,ISCGEM858039,4/26/1965,-1.733,126.568,1965
131,ISCGEM858049,4/26/1965,54.157,-162.59,1965
132,ISCGEM858053,4/26/1965,21.045,120.79799999999999,1965
133,ISCGEM858070,4/27/1965,-6.822,129.504,1965
134,ISCGEM858076,4/27/1965,35.626,23.425,1965
135,ISCGEM858082,4/27/1965,1.3330000000000002,-85.075,1965
136,ISCGEM858143,4/29/1965,47.288000000000004,-122.406,1965
137,ISCGEMSUP858144,4/29/1965,-5.547999999999999,110.33200000000001,1965
138,ISCGEM856572,5/1/1965,60.35,-146.17600000000002,1965
139,ISCGEM856581,5/2/1965,28.927,128.769,1965
140,ISCGEM856594,5/3/1965,-32.537,-70.569,1965
141,ISCGEM856602,5/3/1965,13.683,-89.07,1965
142,ISCGEM856609,5/3/1965,-24.281,-67.92699999999999,1965
143,ISCGEM856624,5/4/1965,41.801,79.414,1965
144,ISCGEM856806,5/12/1965,-3.523,137.924,1965
145,ISCGEM856810,5/12/1965,-6.1739999999999995,130.358,1965
146,ISCGEM856887,5/15/1965,-4.131,134.946,1965
147,ISCGEM856902,5/16/1965,5.268,125.46700000000001,1965
148,ISCGEM856924,5/17/1965,22.336,121.24799999999999,1965
149,ISCGEM856977,5/19/1965,-8.937999999999999,159.083,1965
150,ISCGEM856984,5/19/1965,-6.575,105.311,1965
151,ISCGEM856995,5/19/1965,-4.819,152.436,1965
152,ISCGEM857011,5/20/1965,-14.921,167.34,1965
153,ISCGEM857068,5/22/1965,1.3090000000000002,126.23899999999999,1965
154,ISCGEM857075,5/22/1965,-21.125999999999998,-178.537,1965
155,ISCGEM857113,5/23/1965,52.148999999999994,175.11900000000003,1965
156,ISCGEM857130,5/24/1965,13.174000000000001,124.604,1965
157,ISCGEM857142,5/25/1965,51.227,178.882,1965
158,ISCGEMSUP857167,5/26/1965,-55.957,-27.875,1965
159,ISCGEM857305,5/31/1965,-7.566,128.578,1965
160,ISCGEM855792,6/2/1965,-23.54,-179.917,1965
161,ISCGEM855811,6/2/1965,15.674000000000001,-46.711999999999996,1965
162,ISCGEM855868,6/5/1965,-1.649,126.552,1965
163,ISCGEM855987,6/11/1965,51.88399999999999,174.015,1965
164,ISCGEM855990,6/11/1965,44.608000000000004,149.02200000000002,1965
165,ISCGEM855991,6/11/1965,44.578,148.69899999999998,1965
166,ISCGEM856010,6/11/1965,44.133,149.255,1965
167,ISCGEM856011,6/11/1965,44.111999999999995,149.539,1965
168,ISCGEM856015,6/11/1965,44.299,149.032,1965
169,ISCGEM856064,6/12/1965,44.167,149.87,1965
170,ISCGEM856066,6/12/1965,43.775,149.44799999999998,1965
171,ISCGEM856067,6/12/1965,43.803999999999995,149.351,1965
172,ISCGEM856087,6/12/1965,43.885,149.339,1965
173,ISCGEM856088,6/12/1965,-20.38,-68.944,1965
174,ISCGEM856098,6/13/1965,41.705,143.727,1965
175,ISCGEM856108,6/13/1965,37.718,29.378,1965
176,ISCGEM856118,6/14/1965,-39.902,45.55,1965
177,ISCGEMSUP856141,6/15/1965,-38.08,177.442,1965
178,ISCGEM856155,6/15/1965,-21.025,173.574,1965
179,ISCGEM856219,6/17/1965,32.052,87.78399999999999,1965
180,ISCGEM856278,6/20/1965,44.505,149.218,1965
181,ISCGEM856293,6/20/1965,42.973,-126.652,1965
182,ISCGEM856301,6/21/1965,28.134,55.891000000000005,1965
183,ISCGEM856343,6/22/1965,7.175,123.613,1965
184,ISCGEM856357,6/23/1965,56.543,-152.94799999999998,1965
185,ISCGEM856382,6/24/1965,7.034,126.25,1965
186,ISCGEM856447,6/27/1965,-54.437,4.965,1965
187,ISCGEM856449,6/27/1965,60.281000000000006,-141.418,1965
188,ISCGEM856452,6/27/1965,23.764,121.56,1965
189,ISCGEM856478,6/28/1965,-5.01,153.06,1965
190,ISCGEM856531,6/30/1965,-1.734,126.53,1965
191,ISCGEM856536,6/30/1965,51.813,176.53,1965
192,ISCGEM855097,7/1/1965,-63.159,-163.707,1965
193,ISCGEM855112,7/2/1965,52.99,-167.739,1965
194,ISCGEM855121,7/3/1965,22.338,101.49600000000001,1965
